#,Name,Institution,Score,Penalty
1,DU_NotStrongEnough,University of Dhaka,5,312
2,DU_FlareBlitz_4.0,University of Dhaka,5,438
3,BUET_Wildcard,Bangladesh University of Engineering and Technology,5,455
4,BUET_NerdHerd,Bangladesh University of Engineering and Technology,5,484
5,BUET Radiant,Bangladesh University of Engineering and Technology,5,509
6,BerlekampMassey,Shahjalal University of Science and Technology,5,690
7,BUET Justice For Abrar,Bangladesh University of Engineering and Technology,4,209
8,jU_zQxRdv,Jahangirnagar University,4,315
9,BUET: 3Q2,Bangladesh University of Engineering and Technology,4,330
10,"Siam, Mubasshir, Arman",IOI,4,339
11,BUET_Dunder_Mifflin,Bangladesh University of Engineering and Technology,4,363
12,AIUB_Captured,American International University - Bangladesh,4,457
13,NSU_Stolichnaya,North South University,3,135
14,JU_Team_Management,Jahangirnagar University,3,158
15,RUET_assert(0),Rajshahi University of Engineering & Technology,3,224
16,BUET_cp_dropouts,Bangladesh University of Engineering and Technology,3,235
17,SUST_Elevarse,Shahjalal University of Science and Technology,3,238
18,AUST_Onslaught,Ahsanullah University of Science and Technology,3,239
19,JU_Amigos,Jahangirnagar University,3,276
20,IUT Nidavellir,Islamic University of Technology,3,277
21,CUET_Sapphire,Chittagong University of Engineering & Technology,3,277
22,JnU_Team_Shaky,Jagannath University,3,285
23,CU_Hypersonic,University of Chittagong,3,298
24,AIUB_Singularity,American International University - Bangladesh,3,301
25,DU_Poltergeist,University of Dhaka,3,304
26,DU_Predator,University of Dhaka,3,327
27,DU_Untitled,University of Dhaka,3,330
28,HSTU_TREENITY,Hajee Mohammad Danesh Science and Technology University,2,36
29,MBSTU_Durbeen,Mawlana Bhashani Science & Technology University,2,72
30,SUST_Ambiguous,Shahjalal University of Science and Technology,2,74
31,BUP_Aerolite 2.0,Bangladesh University of Professionals,2,77
32,Uap_Lumos,The University of Asia Pacific,2,80
33,LU_SchrodenBug,Leading University,2,82
34,JU_Glass_Half_Full,Jahangirnagar University,2,83
35,JU_O(try),Jahangirnagar University,2,83
36,IUT_Oporagoto,Islamic University of Technology,2,85
37,SUST_Checkmate,Shahjalal University of Science and Technology,2,93
38,KUET_ThunderBolt,Khulna University of Engineering & Technology,2,95
39,JU_IncendIO,Jahangirnagar University,2,98
40,IU Spiral_Forge,Islamic University,2,98
41,Team_Robust,University of Barisal,2,99
42,KU_BackBenchers,Khulna University,2,101
43,BUET_Integers,Bangladesh University of Engineering and Technology,2,105
44,SEC_AlgoManiacs,Sylhet Engineering College,2,106
45,CUET_RAVENCLAW,Chittagong University of Engineering & Technology,2,107
46,RUET_WALovers,Rajshahi University of Engineering & Technology,2,108
47,BSMRSTU_Comfort_Zone_Crackers,Bangabandhu Sheikh Mujibur Rahman Science and Technology University,2,109
48,PUC Enigma,Premier University,2,109
49,RU_Distilled_Coders,University of Rajshahi,2,111
50,AIUB_Misfortuners,American International University - Bangladesh,2,111
51,MBSTU_Bekar_Jubok,Mawlana Bhashani Science & Technology University,2,116
52,RUET_Bug_Makers,Rajshahi University of Engineering & Technology,2,116
53,SUST_Desvalido,Shahjalal University of Science and Technology,2,117
54,BRACU_Meadowlark,BRAC University,2,118
55,SUST_HOKOR,Shahjalal University of Science and Technology,2,120
56,CityU_Reverse_Case,City University,2,125
57,SUB_Prefix,State University of Bangladesh,2,125
58,KUET_Sisyphus,Khulna University of Engineering & Technology,2,130
59,IU_JaniNa,Islamic University,2,132
60,IIUC_TEAM_MORALITY,International Islamic University Chittagong,2,135
61,Stamford Invictus,Stamford University Bangladesh,2,139
62,IST_neverGiveUp,Institute of Science and Technology,2,141
63,DIU_Tr0jAnZ,Daffodil International University,2,142
64,KUET_Worst_Case,Khulna University of Engineering & Technology,2,144
65,"Nafis, Jarif, Farhan",IOI,2,146
66,DU_DarkHorsE_,University of Dhaka,2,157
67,DCC_Halcyon,Dhaka City College,2,158
68,IUT Monks,Islamic University of Technology,2,160
69,CUET_Tesseract,Chittagong University of Engineering & Technology,2,161
70,Return_0,Pabna University of Science and Technology,2,170
71,DIU_Tortuga,Daffodil International University,2,172
72,CoU_Enigmatologist,Comilla University,2,185
73,JU_ Viva-La-Vida,Jahangirnagar University,2,188
74,KUET_LFS,Khulna University of Engineering & Technology,2,192
75,BUBT_ModZero,Bangladesh University of Business & Technology,2,194
76,CUET_BisherBashi,Chittagong University of Engineering & Technology,2,195
77,MIST_NashInmate,Military Institute of Science and Technology,2,198
78,MU_Anirban,Metropolitan University,2,210
79,UIU_Dream,United International University,2,214
80,PCIU_CODE_KNITTERS,Port City International University,2,234
81,NSTU_Cafeteria,Noakhali Science and Technology University,2,241
82,EU_WA_TREE,Eastern University of Bangladesh,2,274
83,Bright_Coder,Dhaka University of Engineering & Technology,2,319
84,VU_code_haters,Varendra University,1,2
85,IUBAT_3Idi0ts_lasTTime,International University of Business Agriculture and Technology,1,2
86,DIIT_extrano_programadores,Daffodil Institute of Information Technology,1,2
87,NEUB_DivisionByZero,North East University Bangladesh,1,3
88,SEC_bug_lovers,Sylhet Engineering College,1,4
89,RUET_RecycleBin,Rajshahi University of Engineering & Technology,1,4
90,EWU_We_Tried,East West University,1,4
91,BRUR_Crackdown,"Begum Rokeya University, Rangpur",1,4
92,DIU_Thunders,Daffodil International University,1,4
93,JUST_MAsK,Jessore University of Science and Technology,1,4
94,PSTU_WasThere,Patuakhali Science and Technology University,1,5
95,BUBT_BugBag,Bangladesh University of Business & Technology,1,5
96,RUET_Trinity,Rajshahi University of Engineering & Technology,1,5
97,WUB_Uronchondi,World University of Bangladesh,1,6
98,GUB_Hoard_Warriors,Green University of Bangladesh,1,6
99,UITS_MEEK_GEEK,University of Information Technology & Sciences,1,7
100,BSMRSTU_Brain_Limit_Exceeded,Bangabandhu Sheikh Mujibur Rahman Science and Technology University,1,8
101,BU_easily,Britannia University,1,17
102,ULAB_Disjoint_Skill_Union,University of Liberal Arts Bangladesh,1,23
103,mec_fighters,Mymensingh Engineering College,1,24
104,JKKNIU_Team_Byatikrom,Jatiya Kabi Kazi Nazrul Islam University,1,26
105,SEU_AggressiveCows,"Southeast University, Bangladesh",1,26
106,UU_Full_N_Final,Uttara University,1,33
107,CU_AlphaLanterns,University of Chittagong,1,46
108,TeamDeathMatch,Bangladesh Army University of Engineering & Technology,1,66
109,backBenchers_RMSTU,Rangamati Science & Technology University,1,68
110,SIU_Fighters,Sylhet International University,1,166
